X,Y,Z
0.881999,-0.113796,2.14508
0.882627,-0.0496567,2.13468
0.885771,0.271039,2.09819
0.892646,0.451719,2.01526
0.73906,0.176235,2.09378
0.695803,-0.0761471,2.07013
0.710757,-0.306299,2.01921
0.711427,-0.36797,2.00611
1.1016,0.185151,2.18669
1.14135,-0.0910168,2.25455
1.13362,-0.307486,2.15391
1.13409,-0.367483,2.11924
0.799617,-0.198489,2.13714
0.751582,-0.584254,2.17083
0.680865,-0.848572,2.27665
0.704639,-0.899313,2.18991
0.96276,-0.194476,2.16772
1.01898,-0.531937,2.17585
0.933603,-0.821827,2.17585
0.979257,-0.712777,2.16461
0.878387,-0.113651,2.14705
0.878125,-0.0496956,2.13681
0.874988,0.269503,2.10103
0.865682,0.451201,2.01894
0.72356,0.176613,2.09836
0.666809,-0.0915953,2.07697
0.667662,-0.326202,2.03037
0.660294,-0.376662,2.02141
1.08752,0.187904,2.18643
1.13144,-0.085128,2.25399
1.13021,-0.30699,2.15732
1.13215,-0.365874,2.12832
0.796547,-0.198569,2.13998
0.736936,-0.595186,2.17426
0.677968,-0.859265,2.28442
0.699078,-0.906235,2.20341
0.960476,-0.194081,2.1687
1.00747,-0.540024,2.17422
0.94604,-0.817247,2.23869
0.977861,-0.72524,2.19563
0.864641,-0.111989,2.15402
0.862703,-0.0484552,2.14437
0.851831,0.26785,2.11093
0.823214,0.448771,2028
0.684545,0.171815,2.10879
0.625365,-0.104732,2.09857
0.606514,-0.342861,2.05334
0.602494,-0.40069,2.0428
1.05093,0.190955,2.18409
1.12203,-0.0825641,2.25442
1.12349,-0.308623,2.16298
1.12909,-0.364304,2.13411
0.7835,-0.197943,2.14865
0.723985,-0.597534,2.17675
0.677491,-0.860534,2.28563
0.696932,-0.905214,2.20716
0.950239,-0.191834,2.17292
0.987658,-0.545271,2.17121
0.957385,-0.801655,2.26031
0.979415,-0.722185,2.20156
0.830429,-0.110759,2.1694
0.828502,-0.0484095,2.15938
0.817547,0.262615,2.12456
0.774342,0.44699,2.03896
0.63934,0.167236,2.12321
0.574197,-0.110744,2.12781
0.549956,-0.352732,2.08644
0.544733,-0.406779,2.0818
1.00345,0.195031,2.17929
1.09862,-0.077718,2.2566
1.1142,-0.309651,2.17185
1.12336,-0.364248,2.14812
0.748762,-0.19843,2.17104
0.71407,-0.597785,2.1788
0.677098,-0.861172,2.28655
0.694913,-0.904575,2.20936
0.916037,-0.187658,2.18296
0.975414,-0.545753,2.17065
0.985724,-0.795908,2.23776
0.978856,-0.717331,2.20531
0.787246,-0.112873,2.1861
0.783367,-0.0510914,2.17571
0.765191,0.257979,2.13797
0.721568,0.441989,2.04797
0.593778,0.163319,2.13961
0.525162,-0.116077,2.16295
0.505211,-0.357496,2.13333
0.49534,-0.412577,2.12748
0.956677,0.200387,2.17432
1.07784,-0.0732038,2.25932
1.1014,-0.307184,2.18553
1.10766,-0.358909,2.17606
0.70948,-0.202042,2.19364
0.701008,-0.59407,2.18169
0.676143,-0.860839,2.2876
0.690264,-0.902052,2.21276
0.874612,-0.186264,2.19414
0.962971,-0.544431,2.17337
1.0067,-0.792246,2.22506
0.976784,-0.716493,2.20896
0.763181,-0.113443,2.19581
0.758517,-0.0521717,2.18478
0.734159,0.254435,2.14426
0.669438,0.439098,2.05751
0.556251,0.160841,2.15418
0.489712,-0.118697,2.19615
0.477694,-0.356276,2.17692
0.461205,-0.407968,2.1756
0.922475,0.20563,2.17228
1.05445,-0.0634637,2.26269
1.08773,-0.295842,2.20059
1.09756,-0.353704,2.19141
0.685853,-0.203896,2.20824
0.686593,-0.587747,2.18541
0.674039,-0.859585,2.28934
0.683311,-0.898629,2.21784
0.852091,-0.184982,2.20111
0.932446,-0.545574,2.18458
1.03159,-0.78585,2.21829
0.975898,-0.717924,2.21218
0.743989,-0.112181,2.20369
0.737817,-0.0513195,2.19231
0.703258,0.252544,2.1496
0.620151,0.43531,2.06745
0.523355,0.156275,2.17155
0.452939,-0.106338,2.22657
0.437826,-0.342404,2.21889
0.43313,-0.396165,2.22425
0.890858,0.210143,2.17174
1.04043,-0.057495,2.26451
1.07909,-0.288567,2.22109
1.08546,-0.345207,2.20525
0.66974,-0.204152,2.21816
0.673365,-0.579891,2.18894
0.671623,-0.858235,2.29138
0.676138,-0.89576,2.22303
0.833823,-0.182033,2.20761
0.918283,-0.545249,2.1911
1.04325,-0.782699,2.21556
0.974227,-0.720808,2.21468
0.726007,-0.108592,2.21124
0.719657,-0.048574,2.19888
0.683964,0.251894,2.15239
0.586686,0.435025,2.07496
0.497215,0.153725,2.18817
0.434461,-0.0925181,2.25229
0.410303,-0.324364,2.26608
0.410634,-0.382872,2.27435
0.865217,0.213758,2.17204
1.02815,-0.0510352,2.26575
1.07517,-0.280222,2.24373
1.0717,-0.332986,2.21862
0.653507,-0.20193,2.22799
0.662361,-0.571961,2.19253
0.668804,-0.856574,2.29341
0.669187,-0.89325,2.22766
0.815647,-0.176503,2.21538
0.908939,-0.544226,2.19798
1.04802,-0.779436,2.21443
0.963084,-0.722869,2.21812
0.711187,-0.104492,2.21807
0.702882,-0.044952,2.20545
0.649019,0.250864,2.15736
0.551779,0.433356,2.08457
0.47563,0.152166,2.20427
0.422455,-0.07628,2.28074
0.389486,-0.304893,2.31569
0.394433,-0.37007,2.3286
0.844001,0.216806,2.17409
1.01633,-0.0439788,2.26742
1.06674,-0.274489,2.24958
1.06339,-0.325917,2.22579
0.641347,-0.199261,2.23611
0.650539,-0.564333,2.19825
0.66595,-0.854957,2.29544
0.663523,-0.891798,2.23073
0.802979,-0.171692,2.22161
0.901852,-0.542887,2.20522
1029,-0.773063,2.22265
0.943285,-0.726717,2.22682
0.699771,-0.101308,2.22436
0.689332,-0.0419429,2.21191
0.625923,0.251964,2163
0.517604,0.430658,2.09528
0.460652,0.152179,2.21807
0.415772,-0.0626889,2.30636
0.381055,-0.286559,2.36728
0.384687,-0.358016,2.3812
0.820536,0.220999,2.17934
1.00263,-0.0361081,2.26705
1.0589,-0.268104,2.25167
1.05778,-0.321105,2.23017
0.632383,-0.196205,2.24308
0.641857,-0.557627,2.20464
0.663403,-0.853631,2.29748
0.659085,-0.891089,2.23291
0.793438,-0.168116,2.22726
0.895552,-0.541209,2.21424
0.970383,-0.764811,2.25726
0.90943,-0.723284,2.23783
0.689767,-0.0987583,2.23003
0.677181,-0.0395883,2.21777
0.604274,0.252849,2.1687
0.489149,0.430995,2.10842
0.447358,0.150905,2.23486
0.412671,-0.0547199,2.32907
0.380493,-0.273619,2.41578
0.377339,-0.357528,2.43681
0.800561,0.225669,2.1851
0.985565,-0.0263371,2.26539
1.04526,-0.258708,2.24996
1.0506,-0.317531,2.23368
0.624973,-0.193234,2.24954
0.632991,-0.552345,2.21399
0.660013,-0.853428,2.30242
0.65376,-0.892325,2.23705
0.78527,-0.165084,2.23199
0.889821,-0.5415,2.22267
0.926017,-0.762238,2.28544
0.880015,-0.783859,2.2931
0.675486,-0.0966508,2.23872
0.661344,-0.0376208,2.22627
0.586137,0.254561,2.17532
0.466477,0.430075,2.12139
0.436271,0.147443,2.25327
0.412016,-0.0518338,2.35438
0.384424,-0.263334,2.46893
0.377646,-0.354516,2.49116
0.781613,0.22965,2.19113
0.972654,-0.0197647,2.26342
1.02958,-0.251443,2.24515
1.03846,-0.314592,2.23543
0.61049,-0.188966,2.26257
0.625091,-0.549027,2.22479
0.657229,-0.853884,2.30681
0.648996,-0.894112,2.24126
0.774732,-0.162236,2.2377
0.877387,-0.547228,2.23563
0.872469,-0.782711,2332
0.855103,-0.836589,2.29579
0.665094,-0.095545,2.24503
0.649825,-0.0364287,2.2326
0.570694,0.257531,2.18244
0.444129,0.429678,2.13721
0.428534,0.14501,2.27028
0.412533,-0.0496864,2.37993
0.386243,-0.258591,2.49697
0.380484,-0.351348,2.52733
0.764543,0.233713,2.19803
0.956237,-0.0157307,2.25974
1.00037,-0.246974,2.22525
1.01136,-0.303426,2.22795
0.601871,-0.186522,2.27036
0.615898,-0.551367,2.23944
0.653334,-0.859431,2.3204
0.642657,-0.901353,2.25445
0.764952,-0.160141,2.24232
0.864797,-0.553318,2.24799
0.810374,-0.825517,2.39629
0.808423,-0.893588,2.33138
0.65659,-0.0948815,2.25077
0.64031,-0.0356021,2.23863
0.557086,0.260522,2.19124
0.423555,0.430112,2.15789
0.422707,0.145772,2.28892
0.415318,-0.0478584,2.40547
0.390649,-0.2548,2.52151
0.395049,-0.343901,2.56508
0.74194,0.236512,2.20698
0.938738,-0.0109599,2.25521
0.964978,-0.244519,2.20786
0.986619,-0.303995,2.21664
0.595806,-0.18445,2.27711
0.614418,-0.564364,2.26572
0.650524,-0.863013,2.32887
0.637458,-0.906172,2.26265
0.753855,-0.157663,2.24652
0.836825,-0.565773,2.27238
0.764017,-0.85859,2.45428
0.76535,-0.927895,2.37418
0.64829,-0.0941002,2.25743
0.631055,-0.0345741,2.24605
0.543776,0.263949,2.20491
0.408052,0.430007,2.17686
0.418215,0.145987,2.31183
0.417732,-0.0482654,2.42241
0.398182,-0.252451,2.54243
0.406709,-0.338171,2592
0.728948,0.238781,2.21369
0.917122,-0.00193,2.25032
0.9472,-0.243158,2.1986
0.956458,-0.30703,2.1963
0.590205,-0.182207,2.2849
0.613148,-0.56856,2.27968
0.647749,-0.864918,2.33394
0.632041,-0.909201,2.26743
0.744481,-0.155503,2.25012
0.81641,-0.562861,2.28683
0.740882,-0.846136,2.49167
0.752203,-0.942204,2.47672
0.636213,-0.0933224,2.26971
0.618466,-0.0336416,2.25909
0.530168,0.26586,2.22188
0.395266,0.430657,2.19871
0.415378,0.148414,2.33098
0.422096,-0.0493755,2.44278
0.409114,-0.251782,2.5627
0.415538,-0.336141,2.60903
0.719553,0.240552,2.22076
0.905527,0.0030909,2.24834
0.916905,-0.228354,2.17264
0.920018,-0.309971,2.1701
0.58089,-0.178743,2.30106
0.610478,-0.569597,2.28906
0.645621,-0.866389,2.33772
0.663588,-0.927954,2.36502
0.732102,-0.153736,2.25635
0.79616,-0.553529,2.30031
0.745099,-0.778536,2.47551
0.738511,-0.829188,2.40792
0.627404,-0.0924489,2.28019
0.609302,-0.0325776,2.2703
0.519719,0.268036,2.23727
0.387299,0.430807,2.2135
0.411082,0.152094,2.35748
0.427177,-0.0624612,2.48513
0.420738,-0.269818,2.58423
0.431458,-0.352402,2.62584
0.711405,0.242272,2.2306
0.893829,0.00850654,2.24773
0.898325,-0.221386,2.15839
0.882168,-0.304851,2.13893
0.57436,-0.176378,2.31417
0.606153,-0.569739,2.29666
0.644068,-0.867472,2.34073
0.632148,-0.921003,2.31096
0.722952,-0.152363,2.2619
0.781087,-0.544925,2.31217
0.739072,-0.756132,2.48154
0.717933,-0.819305,2.42982
0.617188,-0.0916248,2.29502
0.599514,-0.0314405,2.28565
0.511988,0.270604,2.25565
0.381071,0.4305,2.22851
0.407884,0.155924,2.37576
0.428873,-0.0680758,2.50412
0.429888,-0.277963,2.59845
0.442317,-0.360926,2.63604
0.70308,0.240876,2.24383
0.883157,0.0132337,2.24842
0.8713,-0.21684,2.14193
